Processor,Threads,OM_Time,SA_Time
Intel Core i9-13900K,1,178.498,7.6108
Intel Core i9-13900K,2,178.498,1.7591
Intel Core i9-13900K,3,178.498,1.745
Intel Core i9-13900K,4,178.498,1.3633
Intel Core i9-13900K,5,178.498,1.1606
Intel Core i9-13900K,6,178.498,1.0053
Intel Core i9-13900K,7,178.498,1.0019
Intel Core i9-13900K,8,178.498,0.9992
Intel Core i9-13900K,9,178.498,0.9981
Intel Core i9-13900K,10,178.498,0.9709
Intel Core i9-13900K,11,178.498,0.9746
Intel Core i9-13900K,12,178.498,0.9603
Intel Core i9-13900K,13,178.498,0.9578
Intel Core i9-13900K,14,178.498,0.9528
Intel Core i9-13900K,15,178.498,0.9478
Intel Core i9-13900K,16,178.498,0.9428
Intel Core i9-13900K,17,178.498,0.8903
Intel Core i9-13900K,18,178.498,0.8778
Intel Core i9-13900K,19,178.498,0.8553
Intel Core i9-13900K,20,178.498,0.8328
Intel Core i9-13900K,21,178.498,0.6303
Intel Core i9-13900K,22,178.498,0.6102
Intel Core i9-13900K,23,178.498,0.5891
Intel Core i9-13900K,24,178.498,0.523
Intel Core i9-13900K,25,178.498,0.5115
Intel Core i9-13900K,26,178.498,0.5
Intel Core i9-13900K,27,178.498,0.4885
Intel Core i9-13900K,28,178.498,0.417
Intel Core i9-13900K,29,178.498,0.4055
Intel Core i9-13900K,30,178.498,0.354
Intel Core i9-13900K,31,178.498,0.3425
Intel Core i9-13900K,32,178.498,0.311
Intel Core i5-12400,1,220.85,11.84313
Intel Core i5-12400,2,220.85,3.1455
Intel Core i5-12400,3,220.85,3.0223
Intel Core i5-12400,4,220.85,2.79028
Intel Core i5-12400,5,220.85,2.712
Intel Core i5-12400,6,220.85,2.197453
Intel Core i5-12400,7,220.85,2.17898
Intel Core i5-12400,8,220.85,2.03873
Intel Core i5-12400,9,220.85,2.00546
Intel Core i5-12400,10,220.85,1.908
Intel Core i5-12400,11,220.85,1.8934
Intel Core i5-12400,12,220.85,1.83452
Intel Core i7-8600U,1,712.19,15.4439
Intel Core i7-8600U,2,712.19,5.6211
Intel Core i7-8600U,3,712.19,5.2782
Intel Core i7-8600U,4,712.19,4.987
Intel Core i7-8600U,5,712.19,4.8363
Intel Core i7-8600U,6,712.19,4.79
Intel Core i7-8600U,7,712.19,4.7912
Intel Core i7-8600U,8,712.19,4.3633
AMD Ryzen 5 7535HS,1,335.483,13.1583
AMD Ryzen 5 7535HS,2,335.483,3.6231
AMD Ryzen 5 7535HS,3,335.483,3.3233
AMD Ryzen 5 7535HS,4,335.483,2.7739
AMD Ryzen 5 7535HS,5,335.483,2.7235
AMD Ryzen 5 7535HS,6,335.483,2.626
AMD Ryzen 5 7535HS,7,335.483,2.5235
AMD Ryzen 5 7535HS,8,335.483,2.45652
AMD Ryzen 5 7535HS,9,335.483,2.47323
AMD Ryzen 5 7535HS,10,335.483,2.5379
AMD Ryzen 5 7535HS,11,335.4834,2.3661
AMD Ryzen 5 7535HS,12,335.483,2.31333
AMD Ryzen 5 7530U,1,252.505,12.999141
AMD Ryzen 5 7530U,2,252.505,3.375539
AMD Ryzen 5 7530U,3,252.505,3.275369
AMD Ryzen 5 7530U,4,252.505,2.330764
AMD Ryzen 5 7530U,5,252.505,2.853088
AMD Ryzen 5 7530U,6,252.505,2.735806
AMD Ryzen 5 7530U,7,252.505,2.56469
AMD Ryzen 5 7530U,8,252.505,2.467956
AMD Ryzen 5 7530U,9,252.505,2.423144
AMD Ryzen 5 7530U,10,252.505,2.327546
AMD Ryzen 5 7530U,11,252.505,2.704307
AMD Ryzen 5 7530U,12,252.505,2.502371
